,level_0,index,date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,date_2,usdprice_ffil,usdprice_Inter,Lag_1,Lag_3,Lag_6,rolling_3_mean,exp_min,exp_max,exp_mean,ewma
2014-04-15,34.0,748.0,2014-04-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,8.86,0.7508,0,0.7508,0.7508,0.0,0.0,0.0,0.0,0.7508,0.7508,0.7508,0.7508
2014-05-15,51.0,1189.0,2014-05-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,9.61,0.8179,0,0.8179,0.8179,0.7508,0.0,0.0,0.0,0.7508,0.8179,0.78435,0.7902705882352941
2014-06-15,69.0,1623.0,2014-06-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,10.01,0.8484,0,0.8484,0.8484,0.8179,0.0,0.0,0.8057,0.7508,0.8484,0.8057,0.816813698630137
2014-07-15,87.0,2071.0,2014-07-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,10.38,0.889,0,0.889,0.889,0.8484,0.7508,0.0,0.8517666666666667,0.7508,0.889,0.826525,0.8453120410580339
2014-08-15,104.0,2485.0,2014-08-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,10.84,0.8309,0,0.8309,0.8309,0.889,0.8179,0.0,0.8561,0.7508,0.889,0.8274000000000001,0.8401149543831813
2014-09-15,122.0,2908.0,2014-09-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,12.02,0.9279,0,0.9279,0.9279,0.8309,0.8484,0.0,0.8826,0.7508,0.9279,0.84415,0.8699619355562583
2014-10-15,140.0,3331.0,2014-10-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,12.98,1.0141,0,1.0141,1.0141,0.9279,0.889,0.7508,0.9243,0.7508,1.0141,0.8684285714285714,0.9170840648629424
2014-11-15,159.0,3740.0,2014-11-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,13.95,0.9995,0,0.9995,0.9995,1.0141,0.8309,0.8179,0.9805,0.7508,1.0141,0.8848125,0.9433213740674545
2014-12-15,179.0,4163.0,2014-12-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,15.42,0.9782,0,0.9782,0.9782,0.9995,0.9279,0.8484,0.9972666666666669,0.7508,1.0141,0.8951888888888888,0.9542249609053655
2015-01-15,203.0,4619.0,2015-01-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,16.97,1.0754,0,1.0754,1.0754,0.9782,1.0141,0.889,1.0176999999999998,0.7508,1.0754,0.91321,0.9916341907863074
2015-02-15,222.0,5041.0,2015-02-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,19.03,0.8504,0,0.8504,0.8504,1.0754,0.9995,0.8309,0.968,0.7508,1.0754,0.9075,0.9484092349387924
2015-03-15,243.0,5492.0,2015-03-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,23.32,0.9085,0,0.9085,0.9085,0.8504,0.9782,0.9279,0.9447666666666666,0.7508,1.0754,0.9075833333333333,0.9362684199500412
2015-04-15,261.0,5936.0,2015-04-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,22.6,1.051,0,1.051,1.051,0.9085,1.0754,1.0141,0.9366333333333333,0.7508,1.0754,0.9186153846153846,0.9710246435762919
2015-05-15,280.0,6381.0,2015-05-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,21.45,1.0312,0,1.0312,1.0312,1.051,0.8504,0.9995,0.9969,0.7508,1.0754,0.9266571428571428,0.989200523514841
2015-06-15,301.0,6832.0,2015-06-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,19.62,0.9211,0,0.9211,0.9211,1.0312,0.9085,0.9782,1.0010999999999999,0.7508,1.0754,0.9262866666666666,0.9686729103542565
2015-07-15,322.0,7281.0,2015-07-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,17.55,0.7945,0,0.7945,0.7945,0.9211,1.051,1.0754,0.9156000000000001,0.7508,1.0754,0.91805,0.9162468099525108
2015-08-15,342.0,7719.0,2015-08-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,17.55,0.82,0,0.82,0.82,0.7945,1.0312,0.8504,0.8452000000000001,0.7508,1.0754,0.9122823529411764,0.8873054405102692
2015-09-15,363.0,8155.0,2015-09-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,18.04,0.8201,0,0.8201,0.8201,0.82,0.9211,0.9085,0.8115333333333333,0.7508,1.0754,0.9071611111111112,0.8671109233308102
2015-10-15,382.0,8600.0,2015-10-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,17.28,0.7965,0,0.7965,0.7965,0.8201,0.7945,1.051,0.8122000000000001,0.7508,1.0754,0.9013368421052631,0.8459034721802858
2015-11-15,403.0,9050.0,2015-11-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,16.53,0.7064,0,0.7064,0.7064,0.7965,0.82,1.0312,0.7743333333333334,0.7064,1.0754,0.8915900000000001,0.8040190099645715
2015-12-15,422.0,9513.0,2015-12-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,16.75,0.7111,0,0.7111,0.7111,0.7064,0.8201,0.9211,0.7380000000000001,0.7064,1.0754,0.882995238095238,0.7761277284152467
2016-01-15,443.0,9964.0,2016-01-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,16.4,0.6778,0,0.6778,0.6778,0.7111,0.7965,0.7945,0.6984333333333335,0.6778,1.0754,0.8736681818181818,0.7466178720649228
2016-02-15,465.0,10427.0,2016-02-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,16.31,0.6085,0,0.6085,0.6085,0.6778,0.7064,0.82,0.6658000000000001,0.6085,1.0754,0.8621391304347826,0.7051711670014563
2016-03-15,482.0,10888.0,2016-03-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,16.06,0.5983,0,0.5983,0.5983,0.6085,0.7111,0.8201,0.6282000000000001,0.5983,1.0754,0.8511458333333333,0.6731036733711024
2016-04-15,500.0,11318.0,2016-04-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,15.81,0.6224,0,0.6224,0.6224,0.5983,0.6778,0.7965,0.6097333333333333,0.5983,1.0754,0.8419960000000001,0.6578905311730109
2016-05-15,517.0,11759.0,2016-05-15,Lvivska,Lvivska,Lviv,49.839683,24.029717,cereals and tubers,Rice,KG,actual,Retail,UAH,15.5,0.6157,0,0.6157,0.6157,0.6224,0.6085,0.7064,0.6121333333333334,0.5983,1.0754,0.8332923076923078,0.6452321835212107
